observation_date,INDPRO
2016-11-01,98.3491
2016-12-01,99.0214
2017-01-01,98.7611
2017-02-01,98.3646
2017-03-01,99.0137
2017-04-01,100.0224
2017-05-01,100.1408
2017-06-01,100.3471
2017-07-01,100.1068
2017-08-01,99.6925
2017-09-01,99.7954
2017-10-01,101.0247
2017-11-01,101.2664
2017-12-01,101.4644
2018-01-01,101.4625
2018-02-01,101.7085
2018-03-01,102.2067
2018-04-01,103.3329
2018-05-01,102.4024
2018-06-01,103.198
2018-07-01,103.3646
2018-08-01,104.0327
2018-09-01,104.1004
2018-10-01,103.9856
2018-11-01,104.0681
2018-12-01,104.0936
2019-01-01,103.4021
2019-02-01,102.8371
2019-03-01,102.8757
2019-04-01,102.274
2019-05-01,102.392
2019-06-01,102.4375
2019-07-01,101.9408
2019-08-01,102.639
2019-09-01,102.2917
2019-10-01,101.4281
2019-11-01,101.9372
2019-12-01,101.7003
2020-01-01,101.0338
2020-02-01,101.3735
2020-03-01,97.4078
2020-04-01,84.5619
2020-05-01,85.9604
2020-06-01,91.5934
2020-07-01,95.0256
2020-08-01,95.9549
2020-09-01,95.9669
2020-10-01,96.7394
2020-11-01,97.0816
2020-12-01,98.363
2021-01-01,98.8822
2021-02-01,95.6149
2021-03-01,98.3856
2021-04-01,98.5587
2021-05-01,99.4333
2021-06-01,99.7987
2021-07-01,100.2519
2021-08-01,100.0437
2021-09-01,98.8579
2021-10-01,100.1861
2021-11-01,100.8654
2021-12-01,100.5726
2022-01-01,100.1856
2022-02-01,100.8064
2022-03-01,101.3907
2022-04-01,101.44
2022-05-01,101.3335
2022-06-01,101.018
2022-07-01,101.223
2022-08-01,101.0963
2022-09-01,101.2918
2022-10-01,101.2529
2022-11-01,100.9552
2022-12-01,99.7664
2023-01-01,100.505
2023-02-01,100.6416
2023-03-01,101.0205
2023-04-01,101.253
2023-05-01,100.9286
2023-06-01,100.1196
2023-07-01,100.9067
2023-08-01,100.8393
2023-09-01,101.0211
2023-10-01,100.4689
2023-11-01,100.8639
2023-12-01,100.6031
2024-01-01,99.2223
2024-02-01,100.285
2024-03-01,100.4575
2024-04-01,100.2434
2024-05-01,100.863
2024-06-01,100.894
2024-07-01,99.9757
2024-08-01,100.4309
2024-09-01,99.8084
2024-10-01,99.4695
2024-11-01,99.2925
2024-12-01,100.3273
2025-01-01,100.0647
2025-02-01,101.0993
2025-03-01,101.0404
2025-04-01,101.1279
2025-05-01,100.9655
2025-06-01,101.4785
2025-07-01,101.894
2025-08-01,101.6247
2025-09-01,101.668
2025-10-01,101.2195
2025-11-01,101.0344
2025-12-01,101.4941
2026-01-01,101.1235
2026-02-01,101.9493
2026-03-01,101.6273
2026-04-01,102.509
2026-05-01,102.6475
